X, 29.079980000,29.090099000,29.100219000,29.110349000,29.120500000,29.130630000,29.140750000,29.150869000,29.160989000,29.171119000,29.181240000,29.191360000,29.201480000,29.211639000,29.221759000,29.231889000,29.242010000,29.252130000,29.262250000,29.272380000,29.282499000,29.292619000,29.302780000,29.312900000,29.323020000,29.333150000,29.343269000,29.353389000,29.363510000,29.373640000,29.383789000,29.393920000,29.404039000,29.414159000,29.424280000,29.434410000,29.444530000,29.454650000,29.464769000,29.474929000,29.485050000,29.495180000,29.505300000,29.515420000,29.525539000,29.535669000,29.545789000,29.555950000,29.566070000,29.576190000,29.586309000,29.596439000,29.606559000,29.616680000,29.626800000,29.636959000,29.647079000,29.657209000,29.667329000,29.677450000,29.687570000,29.697700000,29.707820000,29.717939000,29.728099000,29.738220000,29.748340000,29.758470000,29.768590000,29.778709000,29.788829000,29.798959000,29.809080000,29.819240000,29.829359000,29.839479000,29.849599000,29.859729000,29.869850000,29.879970000
AG, 48,29,49,41,34,28,29,27,47,42,31,28,30,37,28,38,35,33,39,43,35,27,44,37,20,26,28,26,31,26,32,27,34,29,28,23,28,18,27,36,33,37,29,27,37,31,29,38,31,30,39,50,36,39,32,33,28,40,25,40,30,40,33,44,39,30,30,24,41,32,36,36,39,20,39,35,38,30,47,28
BG, 254,260,250,243,227,228,227,216,225,220,239,199,225,216,236,230,221,229,200,240,248,227,231,220,205,208,209,210,193,209,199,206,168,191,197,206,168,178,190,203,199,184,186,243,198,229,209,224,221,235,222,216,235,246,227,229,238,231,245,234,254,233,230,243,210,220,251,235,248,233,222,249,201,256,222,230,219,254,239,220
CG, 922,822,917,881,883,872,840,838,840,844,804,876,852,866,801,842,848,795,776,812,798,787,843,760,786,724,745,719,672,695,732,656,649,674,677,641,671,645,690,649,675,670,747,759,769,767,731,777,753,865,854,860,805,791,860,851,868,904,865,766,877,831,874,810,811,886,834,812,903,865,891,829,869,863,839,825,830,808,872,851
DG, 2433,2301,2278,2279,2326,2244,2240,2238,2249,2097,2206,2198,2126,2202,2270,2225,2199,2164,2158,2116,2027,2097,2011,1893,1985,1941,1814,1898,1728,1750,1654,1643,1562,1615,1513,1522,1506,1540,1534,1612,1637,1712,1833,1798,1866,1866,1957,2038,2061,2032,2279,2204,2324,2217,2270,2221,2271,2224,2261,2217,2246,2212,2194,2272,2318,2273,2230,2217,2295,2163,2222,2184,2207,2250,2185,2213,2231,2231,2211,2274
EG, 2996,2850,2835,2805,2754,2843,2784,2780,2797,2667,2756,2672,2687,2710,2671,2667,2609,2677,2529,2572,2575,2478,2353,2308,2230,2147,2018,2019,1880,1731,1663,1535,1488,1433,1447,1352,1363,1422,1508,1479,1577,1793,1852,1914,2042,2180,2243,2322,2514,2547,2540,2621,2636,2727,2633,2731,2666,2764,2687,2680,2737,2636,2646,2645,2594,2610,2608,2600,2613,2676,2633,2581,2670,2653,2597,2595,2517,2722,2644,2564
FG, 1514,1537,1493,1494,1426,1435,1435,1424,1440,1424,1357,1430,1354,1429,1395,1410,1497,1434,1376,1360,1324,1353,1265,1224,1147,1050,940,821,755,692,570,517,444,340,374,318,364,361,444,487,552,659,724,823,953,1086,1126,1232,1292,1329,1369,1398,1443,1487,1488,1517,1459,1507,1479,1498,1499,1449,1365,1414,1418,1461,1483,1479,1418,1433,1382,1463,1458,1427,1455,1461,1468,1386,1418,1501
GH, 2612,2586,2587,2598,2540,2405,2455,2389,2442,2395,2369,2291,2306,2295,2198,2330,2213,2227,2206,2317,2327,2347,2381,2378,2458,2631,2602,2725,2821,2811,2883,2881,3011,3172,3108,3024,3111,3053,2935,2931,2897,2798,2744,2613,2602,2590,2488,2431,2386,2260,2313,2249,2164,2220,2207,2260,2191,2147,2190,2170,2192,2222,2131,2268,2225,2298,2233,2235,2314,2154,2219,2213,2180,2176,2230,2178,2175,2239,2259,2234
GI, 345,329,366,316,315,294,300,317,327,292,309,291,278,297,293,279,292,302,291,303,314,296,316,330,313,362,387,398,391,414,428,461,487,508,497,547,549,533,521,504,501,483,447,441,437,398,375,366,382,317,335,344,320,316,324,281,330,301,291,292,312,300,318,325,296,273,334,290,323,328,286,340,320,278,310,317,274,333,304,343
GJ, 3067,3147,3086,2969,2960,2948,3013,2954,2794,2959,2797,2840,2796,2804,2789,2794,2684,2852,2745,2856,2807,2852,2956,3103,3165,3355,3444,3574,3703,3912,3928,4119,4299,4267,4196,4294,4407,4294,4222,4176,4158,3918,3867,3794,3478,3411,3246,3238,3092,3063,2933,2992,2823,2814,2821,2836,2856,2888,2821,2910,2990,2942,2835,2952,2899,2982,2897,2867,2932,2918,2829,2913,2967,2825,2963,3001,2976,2895,2985,3006
