"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{3., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{700., 94., 0., 0., 0., 0.}","{612., 70., 0., 0., 0., 0.}","{491., 0., 0., 0., 0., 0.}"
"{1471., 585., 2., 0., 0., 0.}","{1345., 499., 0., 0., 0., 0.}","{1038., 318., 0., 0., 0., 0.}"
"{2014., 1702., 609., 7., 0., 0.}","{2094., 1691., 599., 0., 0., 0.}","{1986., 1498., 490., 0., 0., 0.}"
"{576., 2210., 1859., 648., 1., 0.}","{609., 2036., 1531., 494., 0., 0.}","{608., 1900., 1396., 400., 0., 0.}"
"{233., 492., 2100., 1697., 528., 6.}","{103., 514., 1939., 1413., 401., 0.}","{39., 582., 1803., 1284., 313., 0.}"
"{1503., 404., 498., 2300., 1808., 754.}","{1399., 201., 584., 2085., 1500., 594.}","{1135., 99., 519., 1712., 1196., 400.}"
"{0., 1400., 395., 422., 2065., 1897.}","{0., 1328., 202., 501., 1959., 1699.}","{0., 1200., 101., 505., 1764., 1470.}"
"{1211., 0., 1295., 203., 487., 2098.}","{1149., 0., 1204., 115., 500., 2000.}","{943., 0., 1025., 5., 502., 1703.}"
"{0., 1487., 0., 1605., 200., 724.}","{0., 1200., 0., 1399., 14., 799.}","{0., 1100., 0., 1300., 0., 800.}"
"{1295., 0., 1218., 0., 1200., 0.}","{1292., 0., 1194., 0., 1184., 0.}","{1002., 0., 822., 12., 899., 0.}"
"{200., 1282., 0., 1003., 68., 1287.}","{118., 1200., 0., 902., 98., 1198.}","{5., 1029., 0., 700., 108., 1000.}"
"{589., 114., 1399., 101., 900., 220.}","{603., 96., 1340., 161., 818., 300.}","{673., 0., 1200., 201., 694., 336.}"
"{1912., 572., 0., 1204., 192., 718.}","{1787., 600., 0., 1011., 221., 576.}","{1599., 601., 0., 899., 295., 405.}"
"{1399., 1624., 693., 0., 929., 304.}","{1346., 1686., 705., 0., 904., 400.}","{1195., 1518., 765., 0., 800., 417.}"
"{500., 1213., 1699., 800., 0., 1201.}","{489., 1200., 1698., 893., 0., 1191.}","{382., 1005., 1505., 890., 0., 1001.}"
"{3., 423., 1209., 1808., 913., 0.}","{0., 400., 1133., 1754., 983., 0.}","{0., 294., 901., 1498., 900., 0.}"
"{0., 0., 300., 964., 1406., 1212.}","{0., 0., 221., 857., 1359., 1294.}","{0., 0., 176., 700., 1201., 1287.}"
"{0., 0., 0., 400., 1388., 3204.}","{0., 0., 0., 301., 1207., 3099.}","{0., 0., 0., 205., 1000., 2681.}"
