A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	1725	137989	89097	20792	1725	89097	137989	20792	0	0	24	1	0	2	0	0	24	0	0	0	0	0
4.00	1860	137673	94954	15709	1860	94954	137673	15709	1	0	26	3	0	4	0	0	27	0	0	0	0	0
8.00	2653	136172	100622	10365	2653	100622	136172	10365	1	0	31	3	2	3	0	0	31	0	0	0	0	0
12.00	4233	134314	103788	6868	4233	103788	134314	6868	1	0	27	0	0	2	0	0	26	0	0	0	0	0
16.00	4385	135318	107604	3569	4385	107604	135318	3569	2	0	23	0	2	1	0	0	23	0	0	0	0	0
20.00	7032	132010	107011	2993	7032	107011	132010	2993	1	0	40	0	5	0	0	0	37	0	0	0	0	0
24.00	9041	132510	104916	4388	9041	104916	132510	4388	2	0	21	1	2	1	0	0	23	0	0	0	0	0
28.00	14175	127595	102843	6384	14175	102843	127595	6384	7	0	29	0	2	1	0	0	27	0	0	0	0	0
32.00	14374	128946	96717	12804	14374	96717	128946	12804	3	1	23	4	1	2	0	0	18	0	0	0	0	0
36.00	19511	122989	91428	17110	19511	91428	122989	17110	10	2	23	5	4	6	2	0	23	2	0	0	0	0
40.00	23850	119839	85051	23588	23850	85051	119839	23588	9	3	20	6	5	8	1	0	22	3	0	0	0	0
44.00	28206	115507	76370	31381	28206	76370	115507	31381	10	4	19	7	3	7	3	0	17	4	0	0	0	0
48.00	34013	109740	68208	39275	34013	68208	109740	39275	7	0	11	5	6	4	4	0	9	1	0	0	0	0
52.00	36442	107390	57936	50449	36442	57936	107390	50449	8	8	7	5	8	11	11	0	5	7	0	0	0	0
56.00	43464	99392	50972	57643	43464	50972	99392	57643	4	6	8	6	6	13	4	0	8	7	0	0	0	0
60.00	47627	93274	42673	66756	47627	42673	93274	66756	8	7	7	5	4	10	4	0	7	7	0	0	0	0
64.00	56215	82897	37088	72670	56215	37088	82897	72670	5	6	6	3	7	18	5	0	6	6	0	0	0	0
68.00	61604	76699	29940	80189	61604	29940	76699	80189	15	12	2	6	0	10	13	0	2	10	0	0	0	0
72.00	67973	67782	24782	87137	67973	24782	67782	87137	4	14	3	6	2	11	18	0	3	15	0	0	0	0
76.00	74740	59850	20783	91770	74740	20783	59850	91770	5	15	1	5	1	16	9	0	1	15	0	0	0	0
80.00	80497	52366	18115	96019	80497	18115	52366	96019	6	19	2	4	2	10	16	0	2	18	0	0	0	0
84.00	90064	41419	16693	98624	90064	16693	41419	98624	6	24	1	7	2	7	21	0	1	22	0	0	0	0
88.00	96213	33241	16484	99569	96213	16484	33241	99569	4	11	0	4	3	12	20	0	0	13	0	0	0	0
92.00	101863	26442	16786	99627	101863	16786	26442	99627	7	18	0	7	3	6	22	0	0	19	0	0	0	0
96.00	109516	18335	17893	98281	109516	17893	18335	98281	4	23	0	3	7	4	16	0	0	19	0	0	0	0
100.00	114015	13928	20584	95620	114015	20584	13928	95620	5	20	1	4	3	1	28	0	0	19	0	0	0	0
104.00	119698	8040	23086	92658	119698	23086	8040	92658	4	23	1	5	7	1	32	0	1	25	0	0	0	0
108.00	123196	4864	26452	89100	123196	26452	4864	89100	1	29	1	5	4	2	19	0	1	29	0	0	0	0
112.00	127157	3011	29338	84873	127157	29338	3011	84873	1	28	0	2	10	1	27	0	0	26	0	0	0	0
116.00	128247	3135	33132	78620	128247	33132	3135	78620	0	26	0	6	13	1	17	0	0	22	0	0	0	0
120.00	128597	4832	38120	72992	128597	38120	4832	72992	3	16	0	5	17	0	17	0	0	14	0	0	0	0
124.00	125177	7896	42363	66878	125177	42363	7896	66878	1	17	0	6	9	1	19	0	0	19	0	0	0	0
128.00	121517	14487	45930	62568	121517	45930	14487	62568	3	14	1	6	10	2	15	0	1	13	0	0	0	0
132.00	118125	19924	51638	55913	118125	51638	19924	55913	7	21	1	3	9	1	11	0	2	18	0	0	0	0
