
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  62.5412  i
 3.63636  58.929  i
 7.27273  55.3168  i
 10.9091  51.7044  i
 14.5455  48.0918  i
 18.1818  44.4788  i
 21.8182  40.8654  i
 25.4545  37.2514  i
 29.0909  33.6368  i
 32.7273  30.0215  i
 36.3636  26.4054  i
 40  22.7884  i
 43.6364  19.1705  i
 47.2727  15.5515  i
 50.9091  11.9314  i
 54.5455  8.31015  i
 58.1818  4.68766  i
 61.8182  1.06389  i
 65.4545 -2.56122  i
 69.0909 -6.18772  i
 72.7273 -9.81564  i
 76.3636 -13.445  i
 80 -17.0759  i
 83.6364 -20.7082  i
 87.2727 -24.3421  i
 90.9091 -27.9775  i
 94.5455 -31.6145  i
 98.1818 -35.253  i
 101.818 -38.893  i
 105.455 -42.5345  i
 109.091 -46.1775  i
 112.727 -49.822  i
 116.364 -53.4679  i
 120 -57.1152  i
 123.636 -60.7639  i
 127.273 -64.4138  i
 130.909 -68.065  i
 134.545 -71.7174  i
 138.182 -75.3709  i
 141.818 -79.0254  i
 145.455 -82.681  i
 149.091 -86.3374  i
 152.727 -89.9946  i
 156.364 -93.6526  i
 160 -97.3112  i
 163.636 -100.97  i
 167.273 -104.63  i
 170.909 -108.29  i
 174.545 -111.95  i
 178.182 -115.611  i
 181.818 -119.271  i
 185.455 -122.932  i
 189.091 -126.592  i
 192.727 -130.253  i
 196.364 -133.913  i
 200 -137.572  i
 203.636 -141.231  i
 207.273 -144.89  i
 210.909 -148.547  i
 214.545 -152.204  i
 218.182 -155.861  i
 221.818 -159.516  i
 225.455 -163.17  i
 229.091 -166.823  i
 232.727 -170.475  i
 236.364 -174.126  i
 240 -177.776  i
 243.636 -181.424  i
 247.273 -185.071  i
 250.909 -188.717  i
 254.545 -192.361  i
 258.182 -196.003  i
 261.818 -199.645  i
 265.455 -203.284  i
 269.091 -206.922  i
 272.727 -210.559  i
 276.364 -214.194  i
 280 -217.827  i
 283.636 -221.459  i
 287.273 -225.09  i
 290.909 -228.719  i
 294.545 -232.346  i
 298.182 -235.972  i
 301.818 -239.597  i
 305.455 -243.22  i
 309.091 -246.843  i
 312.727 -250.463  i
 316.364 -254.083  i
 320 -257.702  i
 323.636 -261.32  i
 327.273 -264.936  i
 330.909 -268.552  i
 334.545 -272.167  i
 338.182 -275.782  i
 341.818 -279.396  i
 345.455 -283.009  i
 349.091 -286.622  i
 352.727 -290.234  i
 356.364 -293.847  i
 360 -297.459  i

