A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	156427	18428	60011	7474	156427	60011	18428	7474	8	2	3	0	9	0	4	0	2	2	0	0	0	0
4.00	156938	18392	62061	5876	156938	62061	18392	5876	9	1	3	1	18	1	1	0	3	1	0	0	0	0
8.00	155368	18772	63919	4154	155368	63919	18772	4154	6	2	4	0	27	0	2	0	3	2	0	0	0	0
12.00	156183	18782	64623	2934	156183	64622	18782	2934	2	1	5	0	19	0	0	0	5	1	0	0	0	0
16.00	156856	18711	65006	2040	156856	65006	18711	2040	6	0	3	0	20	0	0	0	2	0	0	0	0	0
20.00	158201	18551	64619	1692	158201	64619	18551	1692	3	0	0	0	21	0	1	0	0	1	0	0	0	0
24.00	159896	18923	63421	1953	159896	63421	18923	1953	12	1	5	2	13	0	1	0	6	1	0	0	0	0
28.00	162954	18762	61987	2627	162954	61987	18762	2627	0	2	4	1	16	0	2	0	4	2	0	0	0	0
32.00	162756	18603	59750	3884	162756	59750	18603	3884	5	0	1	1	24	0	0	0	1	0	0	0	0	0
36.00	164528	18829	57082	5789	164528	57082	18829	5789	5	1	2	0	24	1	1	0	2	2	0	0	0	0
40.00	165930	18329	54281	7865	165930	54281	18329	7865	9	4	2	1	18	0	3	0	2	4	0	0	0	0
44.00	165605	17939	50538	10764	165605	50538	17939	10764	6	7	2	2	14	0	6	0	1	8	0	0	0	0
48.00	167738	17758	47985	13294	167738	47985	17758	13294	3	3	1	1	22	1	6	0	1	3	0	0	0	0
52.00	167886	17125	45268	16339	167886	45268	17125	16339	8	7	0	0	13	1	8	0	0	7	0	0	0	0
56.00	168683	17065	42331	19402	168683	42331	17065	19402	4	9	0	2	18	0	13	0	0	9	0	0	0	0
60.00	167701	16240	40004	22304	167701	40004	16240	22304	5	6	1	2	10	1	7	0	2	5	0	0	0	0
64.00	166827	15624	37873	25340	166827	37873	15624	25340	2	12	1	2	15	0	5	0	1	12	0	0	0	0
68.00	166965	14766	36147	28112	166965	36147	14766	28112	10	10	0	2	17	0	11	0	0	10	0	0	0	0
72.00	166519	13968	35591	29945	166519	35591	13968	29945	10	12	0	2	6	2	7	0	0	11	0	0	0	0
76.00	166399	13108	34993	32049	166399	34993	13108	32049	6	13	1	4	12	0	10	0	1	13	0	0	0	0
80.00	166137	12626	34617	33151	166137	34617	12626	33151	4	6	1	5	14	0	7	0	1	7	0	0	0	0
84.00	166406	11795	34829	34026	166406	34829	11795	34026	4	12	1	3	14	1	14	0	1	11	0	0	0	0
88.00	165821	10809	35268	34360	165821	35268	10809	34360	3	19	1	3	7	2	11	0	1	18	0	0	0	0
92.00	165082	9850	36197	34530	165082	36197	9850	34530	6	12	0	1	17	0	8	0	0	11	0	0	0	0
96.00	165738	8803	36901	33213	165738	36901	8803	33213	3	10	0	1	10	1	12	0	0	9	0	0	0	0
100.00	167034	8043	38059	32254	167034	38059	8043	32254	6	13	0	7	13	0	6	0	0	14	0	0	0	0
104.00	169430	7228	39138	31098	169430	39138	7228	31098	0	13	1	4	11	0	7	0	1	11	0	0	0	0
108.00	169899	6505	39715	29143	169899	39715	6505	29143	2	11	0	0	14	0	6	0	1	12	0	0	0	0
