
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  100.183  i
 3.63636  96.4513  i
 7.27273  92.724  i
 10.9091  89.0012  i
 14.5455  85.2833  i
 18.1818  81.5705  i
 21.8182  77.8632  i
 25.4545  74.1617  i
 29.0909  70.4661  i
 32.7273  66.7769  i
 36.3636  63.0941  i
 40  59.418  i
 43.6364  55.7487  i
 47.2727  52.0864  i
 50.9091  48.4311  i
 54.5455  44.783  i
 58.1818  41.142  i
 61.8182  37.5082  i
 65.4545  33.8817  i
 69.0909  30.2623  i
 72.7273  26.65  i
 76.3636  23.0446  i
 80  19.4461  i
 83.6364  15.8544  i
 87.2727  12.2692  i
 90.9091  8.69024  i
 94.5455  5.11743  i
 98.1818  1.55045  i
 101.818 -2.01097  i
 105.455 -5.56714  i
 109.091 -9.11837  i
 112.727 -12.665  i
 116.364 -16.2074  i
 120 -19.746  i
 123.636 -23.2811  i
 127.273 -26.8132  i
 130.909 -30.3426  i
 134.545 -33.8698  i
 138.182 -37.3953  i
 141.818 -40.9194  i
 145.455 -44.4427  i
 149.091 -47.9656  i
 152.727 -51.4886  i
 156.364 -55.012  i
 160 -58.5364  i
 163.636 -62.0623  i
 167.273 -65.5899  i
 170.909 -69.1199  i
 174.545 -72.6526  i
 178.182 -76.1885  i
 181.818 -79.7279  i
 185.455 -83.2712  i
 189.091 -86.8189  i
 192.727 -90.3712  i
 196.364 -93.9285  i
 200 -97.4911  i
 203.636 -101.059  i
 207.273 -104.634  i
 210.909 -108.214  i
 214.545 -111.801  i
 218.182 -115.394  i
 221.818 -118.994  i
 225.455 -122.601  i
 229.091 -126.215  i
 232.727 -129.836  i
 236.364 -133.464  i
 240 -137.099  i
 243.636 -140.742  i
 247.273 -144.392  i
 250.909 -148.048  i
 254.545 -151.712  i
 258.182 -155.383  i
 261.818 -159.061  i
 265.455 -162.745  i
 269.091 -166.436  i
 272.727 -170.133  i
 276.364 -173.835  i
 280 -177.544  i
 283.636 -181.258  i
 287.273 -184.977  i
 290.909 -188.701  i
 294.545 -192.429  i
 298.182 -196.161  i
 301.818 -199.897  i
 305.455 -203.637  i
 309.091 -207.379  i
 312.727 -211.123  i
 316.364 -214.87  i
 320 -218.618  i
 323.636 -222.367  i
 327.273 -226.116  i
 330.909 -229.866  i
 334.545 -233.616  i
 338.182 -237.365  i
 341.818 -241.112  i
 345.455 -244.858  i
 349.091 -248.602  i
 352.727 -252.344  i
 356.364 -256.082  i
 360 -259.817  i

