A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	78418	149318	23140	4954	78418	23140	149318	4954	18	3	10	0	6	2	2	0	13	3	0	0	0	0
4.00	78554	149157	23413	4866	78554	23413	149157	4866	23	1	10	0	5	1	1	0	9	1	0	0	0	0
8.00	77955	148942	23300	4673	77955	23300	148942	4673	25	0	3	0	4	0	1	0	4	0	0	0	0	0
12.00	77838	149502	23255	4702	77838	23255	149502	4702	22	1	5	0	4	1	1	0	3	1	0	0	0	0
16.00	77847	150691	23483	4597	77847	23483	150691	4597	19	2	7	0	6	1	0	0	8	2	0	0	0	0
20.00	77403	149886	23340	4599	77403	23340	149886	4599	22	2	10	0	2	4	2	0	10	2	0	0	0	0
24.00	77304	150697	23453	4623	77304	23453	150697	4623	24	0	6	0	4	1	2	0	5	0	0	0	0	0
28.00	76797	151423	23321	4473	76797	23321	151423	4473	26	0	4	0	4	4	0	0	4	0	0	0	0	0
32.00	76896	150799	23660	4491	76896	23660	150799	4491	26	0	7	0	6	0	1	0	7	0	0	0	0	0
36.00	76694	151272	23782	4432	76694	23782	151272	4432	18	1	8	0	1	2	2	0	7	1	0	0	0	0
40.00	75700	151235	23515	4584	75700	23515	151235	4584	20	0	9	0	3	4	1	0	7	0	0	0	0	0
44.00	76527	151145	23739	4330	76527	23739	151145	4330	19	3	7	0	5	2	0	0	8	3	0	0	0	0
48.00	76322	151573	23596	4260	76322	23596	151573	4260	22	2	5	1	4	1	0	0	5	2	0	0	0	0
52.00	75241	151389	23535	4455	75241	23535	151389	4455	24	2	7	1	2	0	0	0	8	2	0	0	0	0
56.00	75381	151611	23259	4322	75381	23259	151611	4322	21	1	11	0	2	1	0	0	9	1	0	0	0	0
60.00	75744	151493	23723	4488	75744	23723	151493	4488	25	2	5	0	7	1	1	0	4	1	0	0	0	0
64.00	75856	152258	23324	4420	75856	23324	152258	4420	27	1	6	0	2	0	0	0	8	1	0	0	0	0
68.00	75359	151700	23675	4413	75359	23675	151700	4413	23	0	10	0	2	2	0	0	10	0	0	0	0	0
72.00	75703	152715	23279	4533	75703	23279	152715	4533	19	0	10	0	6	0	0	0	10	0	0	0	0	0
76.00	75644	152068	23617	4571	75644	23617	152068	4571	31	0	9	1	5	0	0	0	8	0	0	0	0	0
80.00	76011	151535	23299	4475	76011	23299	151535	4475	29	0	6	0	2	0	0	0	5	0	0	0	0	0
84.00	76084	152501	23080	4605	76084	23080	152501	4605	20	0	7	1	3	3	0	0	6	0	0	0	0	0
88.00	76544	150868	23299	4739	76544	23299	150868	4739	28	0	10	0	3	4	0	0	9	0	0	0	0	0
92.00	76507	151433	23627	4775	76507	23627	151433	4775	24	1	8	1	6	2	1	0	8	1	0	0	0	0
96.00	76956	150236	23277	4694	76956	23277	150236	4694	19	1	12	0	7	1	0	0	12	1	0	0	0	0
100.00	77909	149687	23323	4824	77909	23323	149687	4824	20	3	5	0	1	0	1	0	7	2	0	0	0	0
104.00	78276	149624	23375	4879	78276	23375	149624	4879	19	0	7	0	2	0	1	0	8	0	0	0	0	0
108.00	78266	149066	23085	4859	78266	23085	149066	4859	26	0	8	0	3	2	0	0	6	0	0	0	0	0
112.00	79153	148749	23047	4860	79153	23047	148749	4860	21	1	9	0	2	1	0	0	8	1	0	0	0	0
116.00	79480	148357	23124	4715	79480	23124	148357	4715	21	0	9	0	4	0	0	0	8	0	0	0	0	0
120.00	80749	148037	22879	4901	80749	22879	148037	4901	21	2	11	0	3	2	0	0	12	3	0	0	0	0
124.00	80322	146704	23024	4974	80322	23024	146704	4974	26	1	6	0	3	1	0	0	5	1	0	0	0	0
