A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	2542	89838	83498	19632	2542	83498	89838	19632	0	0	16	1	0	4	0	0	14	0	0	0	0	0
4.00	2796	89515	88051	16051	2796	88051	89515	16051	0	0	11	2	1	1	0	0	12	0	0	0	0	0
8.00	3508	88233	93271	10201	3508	93271	88233	10201	0	0	28	1	0	0	0	0	27	0	0	0	0	0
12.00	3788	88029	97585	6276	3788	97585	88029	6276	2	1	24	0	2	0	0	0	18	1	0	0	0	0
16.00	5559	86362	98903	4631	5559	98903	86362	4631	1	0	12	0	1	1	0	0	10	0	0	0	0	0
20.00	6887	85068	98215	4381	6887	98215	85068	4381	2	0	16	3	1	1	0	0	10	0	0	0	0	0
24.00	7941	84299	95528	6443	7941	95528	84299	6443	1	0	11	0	2	1	0	0	12	0	0	0	0	0
28.00	10015	83344	92487	10383	10015	92487	83344	10383	2	0	14	3	3	3	0	0	14	0	0	0	0	0
32.00	12567	81410	87062	13967	12567	87062	81410	13967	1	1	10	3	5	0	0	0	9	1	0	0	0	0
36.00	15080	78583	79883	20660	15080	79883	78583	20660	3	0	18	5	3	1	0	0	19	0	0	0	0	0
40.00	17522	76157	73045	27755	17522	73045	76157	27755	5	2	8	4	5	5	0	0	10	2	0	0	0	0
44.00	20690	74036	64849	35759	20690	64849	74036	35759	2	3	6	5	3	9	2	0	6	3	0	0	0	0
48.00	24085	70666	56757	44031	24085	56757	70666	44031	1	3	7	3	1	4	4	0	7	4	0	0	0	0
52.00	27659	66138	48627	52209	27659	48627	66138	52209	4	2	5	6	0	5	2	0	6	1	0	0	0	0
56.00	31740	61570	41080	60263	31740	41080	61570	60263	4	3	5	7	3	6	1	0	5	4	0	0	0	0
60.00	35883	56045	33575	67984	35883	33575	56045	67984	4	6	10	3	1	11	8	0	9	5	0	0	0	0
64.00	39354	52052	26842	75420	39354	26842	52052	75420	5	6	1	2	1	8	5	0	1	7	0	0	0	0
68.00	44014	46707	21629	81710	44014	21629	46707	81710	4	4	0	1	1	5	1	0	1	4	0	0	0	0
72.00	48541	40991	16590	87956	48541	16590	40991	87956	3	12	1	4	1	7	15	0	1	9	0	0	0	0
76.00	52777	36146	12904	92406	52777	12904	36146	92406	3	8	2	2	2	4	12	0	2	8	0	0	0	0
80.00	55973	32420	10234	96047	55973	10234	32420	96047	4	16	1	1	1	5	7	0	1	16	0	0	0	0
84.00	60851	26662	9240	97662	60851	9240	26662	97662	3	5	1	0	2	9	12	0	1	7	0	0	0	0
88.00	66170	20798	9692	98133	66170	9692	20798	98133	1	15	1	2	1	4	13	0	1	16	0	0	0	0
92.00	70012	15932	10512	97370	70012	10512	15932	97370	2	16	1	1	0	6	16	0	1	16	0	0	0	0
96.00	74363	11615	12394	95235	74363	12394	11615	95235	2	17	1	3	0	1	14	0	0	16	0	0	0	0
100.00	77854	8053	15132	93004	77854	15132	8053	93004	0	20	0	2	3	1	18	0	0	17	0	0	0	0
104.00	81030	4701	17895	90232	81030	17895	4701	90232	1	8	0	6	7	0	11	0	0	7	0	0	0	0
108.00	83198	2901	21787	85564	83198	21787	2901	85564	0	14	0	4	4	1	11	0	0	13	0	0	0	0
112.00	85480	1912	24972	80573	85480	24972	1912	80573	0	8	0	7	4	0	11	0	0	7	0	0	0	0
116.00	85574	2017	30059	74153	85574	30059	2017	74153	1	15	0	2	6	1	20	0	0	16	0	0	0	0
120.00	85632	3242	34237	69528	85632	34237	3242	69528	0	14	0	3	1	2	18	0	0	13	0	0	0	0
124.00	84152	5174	39817	62129	84152	39817	5174	62129	0	11	0	7	5	0	13	0	0	13	0	0	0	0
128.00	81675	8350	44107	56582	81675	44107	8350	56582	2	10	1	4	11	2	9	0	1	7	0	0	0	0
132.00	77439	12689	48699	51377	77439	48699	12689	51377	1	15	2	3	8	4	12	0	2	14	0	0	0	0
136.00	73679	17379	53890	44883	73679	53890	17379	44883	1	7	2	5	8	2	6	0	2	7	0	0	0	0
140.00	69001	23121	58900	39641	69001	58900	23121	39641	1	3	2	9	5	0	4	0	2	3	0	0	0	0
144.00	62371	30328	62781	35749	62371	62781	30328	35749	2	4	5	6	10	2	3	0	4	2	0	0	0	0
148.00	56340	37045	66565	30868	56340	66565	37045	30868	7	3	7	6	6	2	3	0	5	5	0	0	0	0
152.00	47541	43983	69258	27394	47541	69258	43983	27394	3	3	9	3	11	1	2	0	9	2	0	0	0	0
156.00	40561	52239	75012	23434	40561	75012	52239	23434	5	3	8	7	3	4	3	0	8	3	0	0	0	0
160.00	33722	59299	79407	20471	33722	79407	59299	20471	4	1	9	1	4	1	0	0	7	1	0	0	0	0
164.00	25598	67560	83388	17939	25598	83388	67560	17939	2	0	9	3	3	3	0	0	9	0	0	0	0	0
168.00	19547	73163	86406	15173	19547	86406	73163	15173	0	1	12	3	5	2	0	0	15	1	0	0	0	0
