
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  56.0036  i
 3.63636  52.4127  i
 7.27273  48.8202  i
 10.9091  45.226  i
 14.5455  41.6299  i
 18.1818  38.0318  i
 21.8182  34.4315  i
 25.4545  30.8288  i
 29.0909  27.2237  i
 32.7273  23.6159  i
 36.3636  20.0054  i
 40  16.3922  i
 43.6364  12.7759  i
 47.2727  9.15672  i
 50.9091  5.53444  i
 54.5455  1.90903  i
 58.1818 -1.71954  i
 61.8182 -5.35132  i
 65.4545 -8.98632  i
 69.0909 -12.6245  i
 72.7273 -16.266  i
 76.3636 -19.9106  i
 80 -23.5584  i
 83.6364 -27.2093  i
 87.2727 -30.8633  i
 90.9091 -34.5202  i
 94.5455 -38.1801  i
 98.1818 -41.8428  i
 101.818 -45.5082  i
 105.455 -49.1761  i
 109.091 -52.8465  i
 112.727 -56.5193  i
 116.364 -60.1942  i
 120 -63.8712  i
 123.636 -67.55  i
 127.273 -71.2305  i
 130.909 -74.9125  i
 134.545 -78.5958  i
 138.182 -82.2802  i
 141.818 -85.9656  i
 145.455 -89.6518  i
 149.091 -93.3385  i
 152.727 -97.0255  i
 156.364 -100.713  i
 160 -104.4  i
 163.636 -108.087  i
 167.273 -111.773  i
 170.909 -115.459  i
 174.545 -119.143  i
 178.182 -122.827  i
 181.818 -126.51  i
 185.455 -130.191  i
 189.091 -133.87  i
 192.727 -137.548  i
 196.364 -141.223  i
 200 -144.897  i
 203.636 -148.568  i
 207.273 -152.237  i
 210.909 -155.903  i
 214.545 -159.567  i
 218.182 -163.228  i
 221.818 -166.886  i
 225.455 -170.541  i
 229.091 -174.193  i
 232.727 -177.842  i
 236.364 -181.487  i
 240 -185.13  i
 243.636 -188.769  i
 247.273 -192.405  i
 250.909 -196.038  i
 254.545 -199.668  i
 258.182 -203.295  i
 261.818 -206.918  i
 265.455 -210.538  i
 269.091 -214.155  i
 272.727 -217.77  i
 276.364 -221.381  i
 280 -224.99  i
 283.636 -228.596  i
 287.273 -232.199  i
 290.909 -235.801  i
 294.545 -239.399  i
 298.182 -242.996  i
 301.818 -246.591  i
 305.455 -250.184  i
 309.091 -253.776  i
 312.727 -257.366  i
 316.364 -260.954  i
 320 -264.542  i
 323.636 -268.129  i
 327.273 -271.715  i
 330.909 -275.301  i
 334.545 -278.887  i
 338.182 -282.472  i
 341.818 -286.058  i
 345.455 -289.644  i
 349.091 -293.231  i
 352.727 -296.818  i
 356.364 -300.407  i
 360 -303.996  i

