T quantum uniform nclicks
0 0.5 0.5 0
0 0.5 0.5 0
1 0.504184 0.495816 2
2 0.643806 0.356194 3
3 0.647634 0.352366 5
4 0.375604 0.624396 7
5 0.375604 0.624396 7
6 0.375604 0.624396 7
7 0.77159 0.22841 10
8 0.77159 0.22841 10
9 0.91433 0.0856699 12
10 0.971197 0.0288025 14
11 0.971662 0.0283381 16
12 0.971662 0.0283381 16
13 0.971662 0.0283381 16
14 0.994833 0.00516658 19
15 0.994833 0.00516658 19
16 0.991004 0.00899625 20
17 0.991004 0.00899625 20
18 0.994919 0.00508127 21
19 0.984635 0.0153648 23
20 0.973448 0.026552 24
21 0.99144 0.00855953 26
22 0.99144 0.00855953 26
23 0.99144 0.00855953 26
24 0.99144 0.00855953 26
25 0.997275 0.00272518 28
26 0.997275 0.00272518 28
27 0.997275 0.00272518 28
28 0.998465 0.00153502 29
29 0.99732 0.00268008 30
30 0.99732 0.00268008 30
31 0.995325 0.00467532 31
32 0.995325 0.00467532 31
33 0.991856 0.00814383 32
34 0.991856 0.00814383 32
35 0.997408 0.00259209 34
36 0.997408 0.00259209 34
37 0.99854 0.00145997 35
38 0.999178 0.0008219 36
39 0.999178 0.0008219 36
40 0.998564 0.00143577 37
41 0.999192 0.000808271 38
42 0.999192 0.000808271 38
43 0.999192 0.000808271 38
44 0.999192 0.000808271 38
45 0.999856 0.000144027 41
46 0.999856 0.000144027 41
47 0.999986 1.4431e-05 45
48 0.999986 1.4431e-05 45
49 0.999986 1.4431e-05 45
50 0.999986 1.4431e-05 45
51 0.999986 1.41915e-05 47
52 0.999975 2.4806e-05 48
53 0.999975 2.4806e-05 48
54 0.999975 2.4806e-05 48
55 0.999986 1.3956e-05 49
56 0.999976 2.43943e-05 50
57 0.999986 1.37244e-05 51
58 0.999986 1.37244e-05 51
59 0.999996 4.34405e-06 53
60 0.999996 4.34405e-06 53
61 0.999998 2.44396e-06 54
62 0.999998 2.44396e-06 54
63 0.999999 1.37497e-06 55
64 0.999999 1.37497e-06 55
65 0.999996 4.20106e-06 57
66 0.999996 4.20106e-06 57
67 0.999999 1.32971e-06 59
68 0.999996 4.06279e-06 61
69 0.999996 4.06279e-06 61
70 0.999998 2.28572e-06 62
71 0.999998 2.28572e-06 62
72 0.999998 2.28572e-06 62
73 0.999998 2.28572e-06 62
74 0.999998 2.28572e-06 62
75 0.999998 2.28572e-06 62
76 0.999999 1.28595e-06 63
77 0.999999 7.23473e-07 64
78 1 4.07025e-07 65
79 1 4.07025e-07 65
80 1 4.07025e-07 65
81 1 4.07025e-07 65
82 0.999999 1.24362e-06 67
83 0.999998 2.17381e-06 68
84 0.999998 2.13773e-06 70
85 1 3.80672e-07 73
86 1 1.20489e-07 75
87 1 1.20489e-07 75
88 1 1.20489e-07 75
89 1 1.1849e-07 77
90 1 1.1849e-07 77
91 1 1.1849e-07 77
92 1 3.62033e-07 79
93 1 3.62033e-07 79
94 1 2.03679e-07 80
95 1 2.03679e-07 80
96 1 2.03679e-07 80
97 1 2.03679e-07 80
98 1 2.03679e-07 80
99 1 2.03679e-07 80
100 1 2.03679e-07 80
101 1 1.1459e-07 81
102 1 1.1459e-07 81
103 1 1.1459e-07 81
104 1 2.04053e-08 84
105 1 2.04053e-08 84
106 1 3.56678e-08 85
107 1 2.00667e-08 86
108 1 2.00667e-08 86
109 1 2.00667e-08 86
110 1 3.50759e-08 87
111 1 3.50759e-08 87
112 1 3.50759e-08 87
113 1 6.13115e-08 88
114 1 1.07171e-07 89
115 1 1.87331e-07 90
116 1 1.87331e-07 90
117 1 1.87331e-07 90
118 1 1.05392e-07 91
119 1 1.05392e-07 91
120 1 1.05392e-07 91
121 1 1.05392e-07 91
122 1 1.78158e-07 96
123 1 1.00232e-07 97
124 1 1.00232e-07 97
125 1 5.63902e-08 98
126 1 5.63902e-08 98
127 1 1.78485e-08 100
128 1 1.78485e-08 100
129 1 1.78485e-08 100
130 1 1.78485e-08 100
131 1 3.11986e-08 101
132 1 3.11986e-08 101
133 1 3.11986e-08 101
134 1 1.75523e-08 102
135 1 9.87491e-09 103
136 1 5.55561e-09 104
137 1 5.55561e-09 104
138 1 9.71103e-09 105
139 1 9.71103e-09 105
140 1 9.71103e-09 105
141 1 1.72927e-09 108
142 1 1.72927e-09 108
143 1 9.72885e-10 109
144 1 9.72885e-10 109
145 1 9.72885e-10 109
146 1 5.47344e-10 110
147 1 3.07935e-10 111
148 1 1.70369e-10 114
149 1 5.39248e-11 116
150 1 5.30299e-11 118
151 1 1.67849e-11 120
152 1 1.67849e-11 120
153 1 1.67849e-11 120
154 1 1.65064e-11 122
155 1 1.65064e-11 122
156 1 1.65064e-11 122
157 1 1.65064e-11 122
158 1 9.28646e-12 123
159 1 2.93933e-12 125
160 1 1.65366e-12 126
161 1 1.65366e-12 126
162 1 9.3035e-13 127
163 1 9.3035e-13 127
164 1 9.3035e-13 127
165 1 9.3035e-13 127
166 1 5.23414e-13 128
167 1 2.94472e-13 129
168 1 2.94472e-13 129
169 1 2.94472e-13 129
170 1 2.94472e-13 129
